"Trial","Voltage","Avg_Angular_Frequency","Angular_Frequency_SD","Avg_Phase_Shift","Phase_Shift_Error","Max_Amplitude","Corresponding_SD"
1,2.001,1.35415247948051,0.073183041711472,0.320588235294118,0.248154956333621,0.244333333333333,0.617227132693738
2,2.996,2.610318885486,0.167799267060061,0.254347826086957,0.202772288024064,0.459666666666667,1.03733135175475
3,3.999,3.62288383581396,0.0507284805001973,0.0892857142857137,0.0711946719823987,2.955,0.110851251684408
4,4.995,4.93666732232113,0.138518545233201,0.452777777777778,0.135551403557971,4.34566666666667,0.593500070204995
5,5.998,6.24578539463685,0.101079086767076,0.457692307692308,0.0440279631423207,1.53,0.287073161406635
6,6.992,7.33844807668319,0.278154960653394,0.402,0.0269258240356722,0.157,0.77317268446318
7,4.5,4.46135355208905,0.0834300285796332,0.319444444444444,0.095700035172544,3.89833333333333,2.83205584926098
8,4.747,4.87005745559184,0.19661789743047,0.504761904761905,0.0567995640492996,3.537,1.99457088116717
9,4.25,4.07516774399891,0.226760584254598,0.280555555555555,0.176684238859718,1.297,3.19599577596717
10,4.507,4.626507699731,0.0678597793736441,0.483333333333333,0.2,2.208,4.45477272147525
